Model,Quant,Context,Threads,Prompt_ID,TPS,PPL,Total_Time,TTFT,Load_Duration,Prompt_Tokens,Prompt_Eval_Rate
microsoft_Phi-4-mini-instruct,Q4_K_M,512,2,3,4.09,47.5634,33.07,1.775,29.65,16,9.01,7.02,75.7,57.6,0.89,2400.0,1
microsoft_Phi-4-mini-instruct,Q4_K_M,512,2,4,4.06,10.7726,21.09,3.334,29.65,30,9.0,7.24,77.9,62.1,0.91,2398.6,1
microsoft_Phi-4-mini-instruct,Q4_K_M,512,2,5,4.08,27.3761,33.95,2.575,29.65,23,8.93,7.07,78.5,58.6,0.92,2399.1,1
microsoft_Phi-4-mini-instruct,Q8_0,512,4,1,2.11,12.2803,61.85,1.111,47.89,8,7.2,6.63,73.0,96.9,0.92,2397.1,1
microsoft_Phi-4-mini-instruct,Q8_0,512,4,2,2.07,4.9062,63.44,1.672,47.89,15,8.97,6.64,75.2,96.9,0.99,2396.4,1
microsoft_Phi-4-mini-instruct,Q8_0,512,4,3,2.08,4.7586,63.35,1.669,47.89,16,9.58,6.76,77.4,97.3,1.0,2395.6,1
microsoft_Phi-4-mini-instruct,Q8_0,512,4,4,2.07,4.6238,37.21,2.379,47.89,30,12.61,6.75,77.9,97.2,1.02,2397.4,1
microsoft_Phi-4-mini-instruct,Q8_0,512,4,5,2.08,5.8307,63.78,2.133,47.89,23,10.78,6.73,77.4,97.4,1.03,2397.2,1
Llama-3.2-1B,Q4_K_M,512,4,1,10.15,76.6425,13.05,0.347,9.85,9,25.94,6.45,71.4,94.5,0.9,2392.8,1
Llama-3.2-1B,Q4_K_M,512,4,2,9.94,29.2636,13.54,0.563,9.85,16,28.44,6.83,73.0,95.7,0.89,2391.9,1
Llama-3.2-1B,Q4_K_M,512,4,3,9.94,23.3137,13.55,0.579,9.85,17,29.34,6.75,74.7,95.7,0.9,2390.8,1
Llama-3.2-1B,Q4_K_M,512,4,4,9.95,22.6259,11.84,1.082,9.85,31,28.65,6.76,75.7,96.1,0.91,2384.0,1
Llama-3.2-1B,Q4_K_M,512,4,5,9.88,12.3311,13.96,0.906,9.85,24,26.48,6.68,76.8,95.9,0.92,2394.3,1
Mistral-7B-v0.3,Q8_0,512,4,1,1.12,27.7122,172.16,63.799,90.45,9,0.14,5.2,74.7,58.3,0.86,2102.2,1
Mistral-7B-v0.3,Q8_0,512,4,2,1.21,14.3792,110.64,3.561,90.45,18,5.05,7.06,76.3,97.5,0.65,2398.3,1
Mistral-7B-v0.3,Q8_0,512,4,3,1.2,13.6272,113.89,5.24,90.45,20,3.82,7.0,76.8,96.3,0.65,2389.4,1
Mistral-7B-v0.3,Q8_0,512,4,4,1.18,9.1975,103.37,5.389,90.45,33,6.12,7.1,78.5,97.3,0.66,2396.1,1
Mistral-7B-v0.3,Q8_0,512,4,5,1.2,6.6601,112.66,4.465,90.45,28,6.27,7.15,79.0,97.5,0.65,2396.9,1
Llama-3.2-1B,Q8_0,512,4,1,6.33,73.5381,20.68,0.295,17.81,9,30.52,6.25,71.9,95.5,0.71,2390.9,1
